CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
344579314,04/30/1980,17:15:00,,,08/05/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,79.0,INSIDE,,,,995918.0,190891.0,40.690628995,-73.957927268,"(40.690628995, -73.957927268)"
641618222,08/04/2009,00:30:00,,,08/04/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,47.0,OUTSIDE,,,,1021006.0,257441.0,40.873222208,-73.867097301,"(40.873222208, -73.867097301)"
859619475,08/03/2009,22:58:00,,,08/03/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,10.0,INSIDE,,,,983978.0,212404.0,40.749684691,-74.000983136,"(40.749684691, -74.000983136)"
688756361,08/02/2009,20:55:00,,,08/02/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43.0,OUTSIDE,,,,1021688.0,244893.0,40.838778865,-73.86470137399999,"(40.838778865, -73.864701374)"
334152959,08/02/2009,17:44:00,,,08/02/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,60.0,OUTSIDE,,,,985008.0,148394.0,40.573991381999996,-73.997272904,"(40.573991382, -73.997272904)"
209573141,08/02/2009,13:00:00,,,08/02/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,40.0,INSIDE,,,,1005514.0,235740.0,40.813710246,-73.923182807,"(40.813710246, -73.923182807)"
168313211,08/02/2009,06:31:00,,,08/02/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,73.0,OUTSIDE,,,,1010200.0,179937.0,40.660532394,-73.90646934899999,"(40.660532394, -73.906469349)"
851830614,08/01/2009,04:29:00,,,08/01/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,44.0,OUTSIDE,,,,1007628.0,245100.0,40.839395431,-73.915513131,"(40.839395431, -73.915513131)"
780495217,08/01/2009,03:04:00,,,08/01/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43.0,OUTSIDE,,,,1026268.0,237961.0,40.81973193,-73.84819280399999,"(40.81973193, -73.848192804)"
182166072,07/31/2009,00:54:00,,,07/31/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,40.0,OUTSIDE,,,,1006709.0,238639.0,40.821664228,-73.918856034,"(40.821664228, -73.918856034)"
725384044,07/30/2009,17:50:00,,,07/30/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19.0,INSIDE,,,,995854.0,217222.0,40.762901266,-73.958112648,"(40.762901266, -73.958112648)"
192340855,07/30/2009,15:25:00,,,07/30/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,23.0,INSIDE,,,,1001027.0,228839.0,40.79477856,-73.939409849,"(40.79477856, -73.939409849)"
755988607,07/29/2009,22:11:00,,,07/29/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,79.0,INSIDE,,,TOMPKINS,999414.0,193607.0,40.698078486,-73.94531477,"(40.698078486, -73.94531477)"
507582650,07/29/2009,21:50:00,,,07/29/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,106.0,INSIDE,,,,1038579.0,185782.0,40.676446932,-73.80413550899999,"(40.676446932, -73.804135509)"
116235699,07/28/2009,21:56:00,,,07/28/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67.0,OUTSIDE,,,,1004184.0,175829.0,40.649272421,-73.928165066,"(40.649272421, -73.928165066)"
