1308 MADISON AVENUE 10128
3922 WHITE PLAINS RD 10466
500 CITY ISLAND AVE 10464
289 7 AVENUE 11215
789 9 AVENUE 10019
738 FRANKLIN AVENUE 11238
607 2 AVENUE 10016
2255 31 STREET 11105
51 AVENUE U 11223
3603 30 AVENUE 11103
89 GUYON AVENUE 10306
396 7TH AVE 11215
13858 FRANCIS LEWIS BOULEVARD 11422
2002 CROSS BRONX EXPRESSWAY 10472
3740 WHITE PLAINS ROAD 10467
7013 AUSTIN STREET 11375
1381 65 STREET 11219
824 9 AVENUE 10019
52 WILLIAM STREET 10005
34 W 32ND ST 10001
645 9 AVENUE 10036
613 CRESCENT AVENUE 10458
21920 NORTHERN BOULEVARD 11361
2479 ARTHUR AVE 10458
307 KINGS HIGHWAY 11223
4930 KINGS HIGHWAY 11234
325 BROADWAY 10007
772 ALLERTON AVE 10467
3764 E TREMONT AVE 10465
8509 ROOSEVELT AVENUE 11372
824 BROADWAY 10003
3628 BROADWAY 10031
3411 30 AVENUE 11103
701 WEST  180 STREET 10033
21222 48 AVENUE 11364
120 ESSEX ST 10002
6607 FRESH POND ROAD 11385
1425 W 10TH ST 11204
971B E NEW YORK AVE 11212
211 W 34TH ST 10001
40-24 COLLEGE POINT BLVD 11354
753 9TH AVENUE 10019
5824 MYRTLE AVENUE 11385
10 MORTON STREET 10014
112 DYCKMAN STREET 10040
303 5TH AVE 10016
4042 82ND ST 11373
162 FRANKLIN STREET 11222
7 9 AVENUE 10014
236 PORT RICHMOND AVENUE 10302
1842 EAST NEW YORK AVENUE 11207
3044 WESTCHESTER AVENUE 10461
1022 MADISON AVENUE 10075
407 8 AVENUE 10001
19 WEST  170 STREET 10452
3836 DYRE AVE 10466
67 WEST   44 STREET 10036
